"DateTime";"Games";"Limited Games"
"2006-01-01 00:00:00";71;0
"2007-01-01 00:00:00";136;0
"2008-01-01 00:00:00";242;0
"2009-01-01 00:00:00";378;1
"2010-01-01 00:00:00";274;1
"2011-01-01 00:00:00";280;0
"2012-01-01 00:00:00";302;0
"2013-01-01 00:00:00";435;0
"2014-01-01 00:00:00";1714;0
"2015-01-01 00:00:00";2825;1
"2016-01-01 00:00:00";4661;3
"2017-01-01 00:00:00";6925;13
"2018-01-01 00:00:00";5933;2952
"2019-01-01 00:00:00";2790;5310
"2020-01-01 00:00:00";3102;6589
"2021-01-01 00:00:00";3299;8017
"2022-01-01 00:00:00";3478;8918
"2023-01-01 00:00:00";3838;10523
"2024-01-01 00:00:00";3375;12630